C3X_LAB_FARM_SCENARIO_V0,16,12,58,1500c085e88425796fb150db4a96a904722d1f8b0cce1d614d46db58bc3c0b4b,lab_augmentation
1,0,0,6,0,1,0
2,0,0,8,1,1,1
9,0,0,2,2,1,2
10,0,0,12,3,1,0
12,0,0,6,0,1,1
13,0,0,14,1,1,2
14,0,0,8,2,1,0
0,1,1,2,3,1,1
1,1,1,13,0,1,2
3,1,1,6,1,1,0
4,1,1,12,2,1,1
10,1,1,7,3,1,2
11,1,1,14,0,1,0
12,1,1,11,1,1,1
13,1,2,9,2,1,2
15,1,2,0,3,1,0
1,2,2,3,0,1,1
2,2,2,14,1,1,2
3,2,2,15,2,1,0
4,2,2,11,3,1,1
5,2,2,12,0,1,2
9,2,3,2,1,1,0
10,2,3,11,2,1,1
11,2,3,9,3,1,2
2,3,3,7,0,1,0
3,3,3,9,1,1,1
5,3,3,7,2,1,2
6,3,3,12,3,1,0
8,3,0,4,0,1,1
2,4,0,1,1,1,2
4,4,0,6,2,1,0
5,4,0,15,3,1,1
6,4,0,15,0,1,2
7,4,0,14,1,1,0
8,4,0,15,2,1,1
9,4,1,8,3,1,2
3,5,1,6,0,1,0
4,5,1,15,1,1,1
5,5,1,15,2,1,2
6,5,1,15,3,1,0
7,5,1,15,0,1,1
8,5,1,9,1,1,2
2,6,2,6,2,1,0
3,6,2,15,3,1,1
4,6,2,15,0,1,2
5,6,2,15,1,1,0
6,6,2,15,2,1,1
7,6,2,9,3,1,2
9,6,2,4,0,1,0
2,7,3,3,1,1,1
3,7,3,11,2,1,2
4,7,3,11,3,1,0
5,7,3,11,0,1,1
6,7,3,9,1,1,2
8,7,3,2,2,1,0
9,7,3,9,3,0,1
13,6,1,5,1,1,2
15,2,2,10,2,1,1
