[C3X renderer] qpc=937108086433 ms=39046170.268 thread=6120 sequence=0 stage=pickup-assets selected hill and 6 source cliffs / 24 channels ready
[C3X renderer] qpc=937115430062 ms=39046476.253 thread=6120 sequence=0 stage=animation-bind resource=horses result=ready facing=SE payload_bytes=527380
[C3X renderer] qpc=937115583996 ms=39046482.667 thread=6120 sequence=0 stage=animation-bind resource=cattle result=ready facing=SE payload_bytes=269048
[C3X renderer] qpc=937115678043 ms=39046486.585 thread=6120 sequence=0 stage=animation-bind resource=wheat result=ready facing=SE payload_bytes=40352
[C3X renderer] qpc=937115945627 ms=39046497.734 thread=6120 sequence=0 stage=animation-bind resource=fish result=ready facing=SE payload_bytes=1006880
[C3X renderer] qpc=937116090821 ms=39046503.784 thread=6120 sequence=0 stage=animation-bind resource=whales result=ready facing=SE payload_bytes=434376
[C3X renderer] qpc=937116243622 ms=39046510.151 thread=6120 sequence=0 stage=animation-bind resource=game result=ready facing=SE payload_bytes=436888
[C3X renderer] qpc=937116425485 ms=39046517.729 thread=6120 sequence=0 stage=animation-bind resource=furs result=ready facing=SE payload_bytes=570712
[C3X renderer] qpc=937116621386 ms=39046525.891 thread=6120 sequence=0 stage=animation-bind resource=ivory result=ready facing=SE payload_bytes=472176
[C3X renderer] qpc=937116772334 ms=39046532.181 thread=6120 sequence=0 stage=animation-bind resource=bananas result=ready facing=SE payload_bytes=159792
[C3X renderer] qpc=937116871723 ms=39046536.322 thread=6120 sequence=0 stage=animation-bind resource=rubber result=ready facing=SE payload_bytes=104628
[C3X renderer] qpc=937119218947 ms=39046634.123 thread=6120 sequence=1 stage=render-begin
[C3X renderer] qpc=937645909376 ms=39068579.557 thread=6120 sequence=1 stage=shader-compile C:\Mac\Home\fun\Civilization III Complete\Conquests\C3X_Districts\Renderer\native\Shader@0x2C64F9E0(1240,2): warning X4000: use of potentially uninitialized variable (q6_receiver_visibility)
C:\Mac\Home\fun\Civilization III Complete\Conquests\C3X_Districts\Renderer\native\Shader@0x2C64F9E0(1633,40): warning X4000: use of potentially uninitialized variable (q6_raw_main)
C:\Mac\Home\fun\Civilization III Complete\Conquests\C3X_Districts\Renderer\native\Shader@0x2C64F9E0(1240,2): warning X4000: use of potentially uninitialized variable (q6_receiver_visibility)

[C3X renderer] qpc=938194058479 ms=39091419.103 thread=6120 sequence=1 stage=world-coast-update revision=1 changed=5000 cells=6272 bytes=379536 ms=330.540
[C3X renderer] qpc=938194100606 ms=39091420.859 thread=6120 sequence=1 stage=source-fidelity authority=r13 adapter=natural-coverage-r3 mountain_mask=1 biome_field=1 coast_coverage=1 coast_height=1 trees=22 recipes=25 weight=180 msaa=4 anisotropy=16 scale=2 mip_bias=-1 scratch_max=3670016 river_pages_max=16 L=-0.000000,-0.595228,0.803557 receive=1
[C3X renderer] qpc=938291165996 ms=39095465.250 thread=6120 sequence=1 stage=mesh-phases built=388 reused=0 ground_ms=1912.434 features_ms=53.678 cliffs_ms=1118.279 upload_ms=930.225 bytes=74235300
[C3X renderer] qpc=938291167398 ms=39095465.308 thread=6120 sequence=1 stage=query-cache shore_hits=717707 shore_misses=590102 material_hits=112035 material_misses=115049 height_queries=882806 scratch_bytes=950272
[C3X renderer] qpc=938291169158 ms=39095465.382 thread=6120 sequence=1 stage=geometry-ready tiles
[C3X renderer] qpc=938291264529 ms=39095469.355 thread=6120 sequence=1 stage=source-shadow pages_hit=0 pages_built=3 source_draws=251 casters=2091 bytes_cap=134217728 ticks=51890
[C3X renderer] qpc=938291282905 ms=39095470.121 thread=6120 sequence=1 stage=source-shadow pages_hit=3 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3329
[C3X renderer] qpc=938291323546 ms=39095471.814 thread=6120 sequence=1 stage=source-shadow pages_hit=2 pages_built=2 source_draws=149 casters=2091 bytes_cap=134217728 ticks=25438
[C3X renderer] qpc=938291334994 ms=39095472.291 thread=6120 sequence=1 stage=source-shadow pages_hit=2 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3534
[C3X renderer] qpc=938291355480 ms=39095473.145 thread=6120 sequence=1 stage=source-shadow pages_hit=4 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3682
[C3X renderer] qpc=938291367951 ms=39095473.665 thread=6120 sequence=1 stage=source-shadow pages_hit=2 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3085
[C3X renderer] qpc=938291395416 ms=39095474.809 thread=6120 sequence=1 stage=source-shadow pages_hit=2 pages_built=1 source_draws=90 casters=2091 bytes_cap=134217728 ticks=14585
[C3X renderer] qpc=938291407054 ms=39095475.294 thread=6120 sequence=1 stage=source-shadow pages_hit=3 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3500
[C3X renderer] qpc=938291432840 ms=39095476.368 thread=6120 sequence=1 stage=source-shadow pages_hit=3 pages_built=1 source_draws=0 casters=2091 bytes_cap=134217728 ticks=4130
[C3X renderer] qpc=938291447091 ms=39095476.962 thread=6120 sequence=1 stage=source-shadow pages_hit=4 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3865
[C3X renderer] qpc=938291463901 ms=39095477.663 thread=6120 sequence=1 stage=source-shadow pages_hit=4 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3431
[C3X renderer] qpc=938291471472 ms=39095477.978 thread=6120 sequence=1 stage=source-shadow pages_hit=4 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3420
[C3X renderer] qpc=938291488789 ms=39095478.700 thread=6120 sequence=1 stage=source-shadow pages_hit=4 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3330
[C3X renderer] qpc=938291495349 ms=39095478.973 thread=6120 sequence=1 stage=source-shadow pages_hit=4 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3465
[C3X renderer] qpc=938291508879 ms=39095479.537 thread=6120 sequence=1 stage=source-shadow pages_hit=3 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3047
[C3X renderer] qpc=938291514039 ms=39095479.752 thread=6120 sequence=1 stage=source-shadow pages_hit=3 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3027
